"Long","n"
-112.3333333,1
-112.3311933,1
-112.328611,1
-112.324656,1
-112.312589,1
-112.309249,1
-112.303889,1
-112.30102,1
-112.29747,1
-112.297118,1
-112.29134,1
-112.280411,1
-112.278959,1
-112.2769444,1
-112.275411,2
-112.265896,1
-112.261234,1
-112.258666,1
-112.252134,1
-112.250906,1
-112.237369,1
-112.237222,1
-112.2357,2
-112.235528,1
-112.2355,1
-112.235151,1
-112.218951,1
-112.21822,1
-112.212178,1
-112.21048,1
-112.209741,1
-112.202778,1
-112.193955,1
-112.19,1
-112.18968,1
-112.188916,1
-112.188738,1
-112.1885026,2
-112.1847,1
-112.18457,1
-112.1834,1
-112.181307,1
-112.18105,1
-112.180511,1
-112.1777427,1
-112.177742,1
-112.177677,1
-112.1744,1
-112.169516,1
-112.169072,1
-112.168889,1
-112.168344,1
-112.163899,1
-112.158798,1
-112.1585825,1
-112.157157,1
-112.156578,1
-112.156325,1
-112.155495,1
-112.153993,1
-112.15285,1
-112.152398,1
-112.15175,1
-112.150833,1
-112.148896,1
-112.146858,1
-112.146806,1
-112.145885,1
-112.145833,1
-112.141389,1
-112.140556,1
-112.140389,1
-112.140278,1
-112.139406,1
-112.137957,1
-112.13781,1
-112.1366788,1
-112.136667,1
-112.134929,1
-112.1343,1
-112.1311,1
-112.130953,1
-112.129681,1
-112.128368,1
-112.12362,1
-112.122249,1
-112.122222,1
-112.116568,3
-112.116297,2
-112.11572,1
-112.114239,1
-112.114036,1
-112.10908,1
-112.108751,1
-112.1077,1
-112.1038632,1
-112.1037269,1
-112.100135,1
-112.0966686,1
-112.096351,2
-112.0949862,3
-112.094986,3
-112.094886,1
-112.09431,1
-112.093305,1
-112.092845,1
-112.0918917,1
-112.09107,1
-112.090613,1
-112.085,1
-112.08314,1
-112.082552,2
-112.08232,1
-112.08188,1
-112.081511,1
-112.081396,1
-112.08013,1
-112.0770119,1
-112.076252,1
-112.076194,1
-112.072724,1
-112.072429,1
-112.066728,1
-112.0661,1
-112.0657,1
-112.0652408,2
-112.06362,1
-112.062901,1
-112.061574,1
-112.0611889,1
-112.0609,1
-112.05791,1
-112.0578,1
-112.0567,1
-112.056389,1
-112.056,1
-112.054261,1
-112.0528991,1
-112.052788,1
-112.052645,1
-112.052189,1
-112.048333,1
-112.047605,1
-112.04696,1
-112.044528,1
-112.038663,1
-112.038475,1
-112.035088,1
-112.033889,1
-112.033301,1
-112.033163,1
-112.03314,1
-112.032806,1
-112.032567,1
-112.0315835,1
-112.031583,1
-112.031435,1
-112.0314325,2
-112.0314,2
-112.0306727,1
-112.030643,1
-112.02798,1
-112.0279,1
-112.026944,1
-112.0257,1
-112.02535,1
-112.02531,1
-112.02496,1
-112.024528,1
-112.022246,1
-112.0222,1
-112.02206,1
-112.021944,1
-112.020306,2
-112.019558,1
-112.01883,1
-112.018364,1
-112.016707,1
-112.016687,1
-112.0131893,1
-112.013188,1
-112.013003,1
-112.0105745,1
-112.010574,2
-112.010055,1
-112.009526,1
-112.0086154,1
-112.00797,1
-112.00724,1
-112.001944,2
-111.99837,1
-111.997093,1
-111.996058,2
-111.99544,1
-111.991949,1
-111.98942,1
-111.988769,1
-111.9885674,1
-111.988311,1
-111.988056,1
-111.985713,1
-111.984511,1
-111.981643,2
-111.98157,1
-111.980259,1
-111.979448,1
-111.9780643,1
-111.975848,1
-111.97462,1
-111.968008,1
-111.967887,1
-111.967721,1
-111.965441,1
-111.963238,1
-111.961051,1
-111.958841,1
-111.9588,2
-111.958696,1
-111.957674,1
-111.9554411,1
-111.953879,1
-111.95387,1
-111.953233,1
-111.950837,1
-111.950556,1
-111.948904,1
-111.9463539,1
-111.945277,1
-111.944748,1
-111.942599,1
-111.939953,1
-111.937885,1
-111.9367215,1
-111.93617,1
-111.933212,1
-111.92655,1
-111.925477,1
-111.92423,1
-111.922302,1
-111.91937,1
-111.918557,1
-111.917517,1
-111.917326,1
-111.917246,1
-111.912015,1
-111.910714,1
-111.910024,1
-111.908244,1
-111.908177,1
-111.907694,1
-111.9045201,1
-111.904324,1
-111.9042354,1
-111.903378,1
-111.902845,1
-111.900044,1
-111.899615,1
-111.897588,1
-111.896545,1
-111.89532,1
-111.893483,2
-111.893417,2
-111.892934,1
-111.892495,1
-111.891715,1
-111.890395,1
-111.8855509,1
-111.883417,1
-111.880167,1
-111.879483,1
-111.871887,1
-111.865556,1
-111.864858,1
-111.8512145,1
-111.8429001,1
-111.8407003,1
-111.8352778,1
-111.833935,1
-111.832217,1
-111.832216,1
-111.8285091,1
-111.82649,1
-111.826389,1
-111.8263877,1
-111.826167,1
-111.823717,1
-111.823089,1
-111.8208952,2
-111.820895,3
-111.8191322,1
-111.817751,13
-111.805229,1
-111.80522,1
-111.7983891,1
-111.797842,1
-111.7976,1
-111.792778,1
-111.79267,1
-111.78527,1
-111.783056,1
-111.782089,1
-111.77866,1
-111.7770333,1
-111.776954,1
-111.774215,1
-111.772403,1
-111.77223,1
-111.7699,1
-111.7672222,1
-111.764572,1
-111.756159,1
-111.755926,1
-111.751183,1
-111.746926,1
-111.746783,1
-111.745111,2
-111.743389,1
-111.74318,1
-111.7355008,1
-111.7292,1
-111.727953,1
-111.725812,1
-111.7221778,1
-111.72215,1
-111.7158333,1
-111.713927,2
-111.713542,4
-111.7126,1
-111.7108016,1
-111.71077,1
-111.7098,1
-111.705552,1
-111.705416,1
-111.70515,3
-111.7045862,1
-111.702682,1
-111.70254,1
-111.702444,1
-111.702431,4
-111.701,1
-111.6991,1
-111.69836,6
-111.69803,1
-111.697375,1
-111.6959,1
-111.695749,1
-111.693301,1
-111.693168,1
-111.689883,1
-111.68986,1
-111.683098,1
-111.676947,1
-111.674027,1
-111.67272,1
-111.67255,1
-111.662573,1
-111.662303,1
-111.660897,1
-111.6599965,1
-111.655365,3
-111.6498383,1
-111.649838,2
-111.6494417,2
-111.649394,1
-111.6493917,1
-111.649375,1
-111.649056,1
-111.649033,1
-111.643987,1
-111.6344444,1
-111.631266,1
-111.629904,1
-111.6295782,1
-111.6292104,1
-111.628611,1
-111.59835,1
-111.5965,1
-111.594083,1
-111.592777,1
-111.5896993,1
-111.589307,1
-111.588743,1
-111.58622,1
-111.5722,1
-111.5676829,1
-111.566084,3
-111.561682,1
-111.5607836,1
-111.54871,1
-111.546884,1
-111.5459293,1
-111.544936,1
-111.542539,1
-111.54071,1
-111.5367,1
-111.535282,1
-111.53452,1
-111.52946,1
-111.514361,1
-111.513333,2
-111.5113,1
-111.510546,5
-111.508658,1
-111.5074234,1
-111.5074,5
-111.5061,1
-111.498726,1
-111.4903,1
-111.485751,1
-111.483447,1
-111.4829,1
-111.480623,1
-111.478448,1
-111.474218,1
-111.473056,1
-111.47215,1
-111.471934,1
-111.47123,1
-111.466536,1
-111.462354,1
-111.461859,1
-111.45915,1
-111.450611,1
-111.44961,1
-111.44593,1
-111.4439,1
-111.44167,2
-111.441109,1
-111.44075,1
-111.440462,1
-111.436842,1
-111.436428,1
-111.436127,6
-111.43612,1
-111.434502,1
-111.43438,2
-111.43164,1
-111.4288,1
-111.428495,1
-111.427559,2
-111.427558,2
-111.427236,1
-111.425556,1
-111.42522,1
-111.4219485,1
-111.421654,1
-111.4201166,2
-111.409773,1
-111.409621,1
-111.407786,1
-111.402534,1
-111.400325,1
-111.398253,1
-111.393767,1
-111.39197,1
-111.388614,1
-111.385781,1
-111.385773,1
-111.38154,1
