"BatchID","n"
"36922",1
"37115",7
"37286",2
"37819",3
"38051",4
"38081",1
"40653",1
"40721",1
"40774",1
"41531",1
"42015",1
"42062",1
"42078",1
"42225",1
"43179",1
"43259",1
"45886",1
"49027",1
"56629",1
"57185",1
"57955",1
"59094",13
"60100",1
"60219",1
"60640",1
"61509",1
"61793",1
"66755",1
"86544",1
"86634",1
"87293",1
"87378",1
"87718",1
"88085",1
"88247",8
"88317",8
"88332",8
"88479",1
"88501",1
"88838",1
"89017",2
"89149",1
"89559",1
"89673",1
"90088",2
"90409",16
"90543",14
"90624",1
"90665",1
"90841",1
"91354",1
"91570",1
"92637",1
"92739",2
"93097",1
"93162",1
"93265",1
"93368",1
"93426",1
"93847",1
"94025",1
"94060",1
"94539",1
"95278",1
"95476",1
"95614",1
"95710",1
"95842",1
"95996",1
"96238",1
"96565",1
"96629",1
"96708",1
"96914",1
"97039",1
"97142",1
"97725",1
"98039",1
"98066",1
"98107",1
"98187",2
"98231",2
"98348",1
"98406",1
"98524",1
"98584",1
"98634",1
"98806",1
"98821",1
"99117",1
"99219",1
"99252",1
"99315",2
"99714",1
"ALK150113A",3
"ALK150225A",6
"ALK150313A",6
"ALK150427A",3
"ALK150501A",3
"ALK150818A",3
"ALK150826A",4
"ALK151110A",6
"ALK151201A",6
"ALK160224A",6
"ALK160413A",3
"ALK160526A",3
"ALK160728A",3
"ALK160808",3
"ALK160902",3
"ALK161019",3
"ALK161130",3
"ALK170208",3
"ALK170330",3
"ALK170522",3
"ALK170524",3
"ALK170621",3
"ALK170814",3
"ALK171107",3
"ALK171219",3
"ALK180213",3
"ALK180330",3
"ALK181130",3
"ALK190516",3
"ALK190710",3
"ALK200116",3
"ALK200312",3
"ALK200805",6
"ALK201109",3
"ALK210414",3
"B_89220",2
"B_R244275",6
"B_R355051",2
"C_R213618",3
"C_R247663",3
"G_R233545",2
"H_43259",2
"H_43313",1
"H_43712",1
"H_45231",1
"H_45511",1
"H_45526",1
"H_45628",1
"H_45886",2
"H_46031",1
"H_46091",1
"H_R114447",2
"H_R125083",2
"H_R138171",12
"H_R138214",5
"H_R138224",7
"H_R138225",8
"H_R138226",1
"H_R138244",3
"H_R138289",2
"H_R138291",9
"H_R138332",35
"H_R138333",23
"H_R138353",1
"H_R138355",11
"H_R138358",4
"H_R138363",3
"H_R138377",20
"H_R138389",16
"H_R138394",7
"H_R138397",3
"H_R138414",3
"H_R138425",8
"H_R138428",2
"H_R138434",5
"H_R138435",2
"H_R138451",21
"H_R138501",9
"H_R138504",2
"H_R138506",57
"H_R138517",51
"H_R138526",24
"H_R138542",13
"H_R138550",36
"H_R138564",6
"H_R138565",6
"H_R138580",27
"H_R138584",16
"H_R138596",4
"H_R138608",2
"H_R138614",9
"H_R138626",87
"H_R138634",2
"H_R138639",30
"H_R138640",36
"H_R138646",5
"H_R138652",6
"H_R138654",6
"H_R138656",9
"H_R138657",3
"H_R138669",22
"H_R138684",18
"H_R138685",1
"H_R138711",4
"H_R138719",12
"H_R138749",10
"H_R138770",24
"H_R138779",4
"H_R138782",12
"H_R138783",2
"H_R138802",35
"H_R138803",3
"H_R138809",2
"H_R138841",3
"H_R138842",16
"H_R138843",3
"H_R138856",28
"H_R138865",1
"H_R138874",3
"H_R138906",4
"H_R138948",4
"H_R139051",8
"H_R139535",6
"H_R139596",5
"H_R139606",3
"H_R139619",36
"H_R139634",5
"H_R139651",2
"H_R139652",12
"H_R139655",30
"H_R139657",15
"H_R139658",45
"H_R139690",2
"H_R139691",6
"H_R139732",6
"H_R139735",25
"H_R139744",11
"H_R139770",6
"H_R139776",6
"H_R139793",2
"H_R139802",6
"H_R139841",1
"H_R139846",1
"H_R139849",7
"H_R139861",3
"H_R139869",1
"H_R140726",6
"H_R140767",12
"H_R140789",3
"H_R140824",3
"H_R140825",6
"H_R140832",4
"H_R140913",13
"H_R140914",1
"H_R140934",5
"H_R140935",2
"H_R140955",9
"H_R143070",12
"H_R143099",2
"H_R143106",12
"H_R143108",4
"H_R143132",14
"H_R143149",1
"H_R143152",5
"H_R143157",6
"H_R143160",1
"H_R143165",1
"H_R143194",6
"H_R143195",8
"H_R143216",3
"H_R143218",5
"H_R143219",2
"H_R143225",10
"H_R143243",2
"H_R143258",66
"H_R143261",4
"H_R143298",9
"H_R143299",4
"H_R143305",33
"H_R143306",3
"H_R143309",5
"H_R143327",57
"H_R143343",9
"H_R143351",9
"H_R143353",41
"H_R143354",10
"H_R143373",14
"H_R143378",14
"H_R143382",36
"H_R143383",7
"H_R143385",3
"H_R143393",43
"H_R143404",6
"H_R143405",6
"H_R143423",18
"H_R143437",33
"H_R143438",1
"H_R143441",2
"H_R143453",18
"H_R143478",2
"H_R143487",1
"H_R143488",11
"H_R143506",6
"H_R143512",22
"H_R143519",16
"H_R143535",16
"H_R143536",2
"H_R143573",4
"H_R143589",6
"H_R143591",1
"H_R143599",9
"H_R143653",9
"H_R143654",39
"H_R143658",1
"H_R143659",21
"H_R143676",3
"H_R143680",25
"H_R143685",7
"H_R143692",3
"H_R143730",21
"H_R143731",6
"H_R143736",36
"H_R143743",15
"H_R143793",18
"H_R143794",34
"H_R143801",22
"H_R143802",6
"H_R143813",1
"H_R143820",6
"H_R143838",1
"H_R143846",3
"H_R143850",6
"H_R143871",22
"H_R143881",19
"H_R143894",38
"H_R143931",19
"H_R143933",18
"H_R143935",26
"H_R143943",3
"H_R143957",13
"H_R143958",25
"H_R143967",1
"H_R143969",24
"H_R143970",4
"H_R143971",12
"H_R143972",2
"H_R143975",6
"H_R143998",20
"H_R144017",12
"H_R144027",9
"H_R144035",18
"H_R144039",3
"H_R144072",30
"H_R144073",27
"H_R144108",4
"H_R144109",22
"H_R144114",8
"H_R144119",12
"H_R144123",13
"H_R144124",1
"H_R144126",2
"H_R144147",43
"H_R144180",9
"H_R144183",12
"H_R144186",7
"H_R144188",1
"H_R144190",2
"H_R144192",9
"H_R144220",15
"H_R144222",2
"H_R144223",8
"H_R144236",5
"H_R144246",6
"H_R144248",30
"H_R144263",12
"H_R144264",1
"H_R144271",18
"H_R144276",3
"H_R144282",17
"H_R144284",12
"H_R144296",1
"H_R144320",28
"H_R144322",5
"H_R144325",1
"H_R144346",18
"H_R144347",5
"H_R144351",4
"H_R144356",3
"H_R144359",10
"H_R144370",1
"H_R144382",1
"H_R144428",17
"H_R144460",19
"H_R144472",21
"H_R144508",19
"H_R144517",16
"H_R144527",1
"H_R144537",4
"H_R144546",12
"H_R144563",32
"H_R144565",2
"H_R144574",9
"H_R144580",2
"H_R144591",31
"H_R144596",36
"H_R144597",18
"H_R144679",6
"H_R144697",5
"H_R144732",8
"H_R144737",2
"H_R144762",1
"H_R144764",8
"H_R144776",1
"H_R144778",36
"H_R144798",3
"H_R144807",27
"H_R144817",36
"H_R144820",4
"H_R144833",39
"H_R144839",15
"H_R144840",3
"H_R144843",4
"H_R144858",31
"H_R144860",6
"H_R144862",2
"H_R144870",18
"H_R144877",21
"H_R144906",1
"H_R144913",23
"H_R144914",1
"H_R144915",2
"H_R144932",5
"H_R144934",19
"H_R144943",10
"H_R144945",18
"H_R144952",18
"H_R144983",9
"H_R144984",10
"H_R145002",3
"H_R145003",8
"H_R145051",14
"H_R145052",2
"H_R145056",6
"H_R145097",4
"H_R145137",1
"H_R149992",3
"H_R150030",3
"H_R150036",3
"H_R150045",4
"H_R150066",3
"H_R150078",2
"H_R150086",1
"H_R169392",2
"H_TDS180920A",1
"H_TDS180926A",1
"H_TDS181105A",1
"H_TDS190411A",1
"H_TDS190501A",2
"H_TDS190523A",1
"R103838",2
"R103857",2
"R103867",3
"R103871",1
"R103897",5
"R103899",2
"R103934",2
"R104003",5
"R104025",2
"R104088",2
"R104093",4
"R104137",2
"R104207",1
"R104442",20
"R104529",2
"R104530",2
"R104553",2
"R104554",3
"R104566",1
"R104576",1
"R104665",2
"R104678",8
"R104694",1
"R104712",2
"R104717",2
"R104719",3
"R104746",2
"R104747",8
"R104752",2
"R104759",4
"R104765",2
"R104803",2
"R104806",3
"R104820",13
"R104837",2
"R104866",1
"R104898",1
"R104962",4
"R104991",4
"R104992",4
"R104993",2
"R105017",2
"R105020",2
"R105025",1
"R105035",9
"R105047",1
"R105075",1
"R105128",1
"R105137",13
"R105140",1
"R105152",2
"R105182",2
"R105191",1
"R105198",1
"R105217",1
"R105244",4
"R105258",10
"R105282",4
"R105311",10
"R105334",1
"R105335",4
"R105386",18
"R105408",2
"R105457",2
"R105481",3
"R105524",1
"R105536",3
"R105573",2
"R105603",4
"R105608",3
"R105615",2
"R105660",3
"R105689",2
"R105707",2
"R105716",5
"R105719",3
"R105747",2
"R105748",2
"R105753",1
"R105763",5
"R106029",2
"R106059",3
"R106103",2
"R106148",2
"R106178",2
"R106186",1
"R106193",2
"R106196",4
"R106231",8
"R106239",1
"R106451",1
"R106453",2
"R106462",1
"R106543",6
"R106560",8
"R106589",4
"R106594",3
"R106596",4
"R106645",8
"R106651",18
"R106690",4
"R106732",4
"R106827",3
"R106838",1
"R106881",9
"R107557",3
"R107584",1
"R107598",4
"R107612",1
"R107616",6
"R107637",2
"R107745",2
"R107791",1
"R107998",2
"R108010",2
"R108017",1
"R108062",1
"R108068",2
"R108084",4
"R108128",3
"R108129",1
"R108256",2
"R108262",3
"R108361",1
"R108427",2
"R108447",2
"R108506",1
"R108566",1
"R108594",6
"R108622",2
"R108631",2
"R108645",2
"R108671",1
"R108707",1
"R108797",5
"R108813",2
"R108814",2
"R108817",1
"R108818",2
"R108861",1
"R108902",1
