"SampleID","n"
"B15082193-001",23
"B15082264-001",3
"B15082265-001",28
"B15082273-001",23
"B15082275-001",3
"B15082279-001",9
"B15082289-001",9
"B15082543-001",29
"B15082605-001",29
"B15082624-001",23
"B15082624-002",23
"B15090023-001",15
"B15090026-001",23
"B15090148-001",28
"B15090149-001",9
"B15090150-001",23
"B15090153-001",23
"B15090688-001",8
"B15090689-001",29
"B15090690-001",22
"B15090752-001",22
"B15090789-001",30
"B15090905-001",22
"B15090927-001",27
"B15090947-001",25
"B15090947-002",23
"B15090947-003",23
"B15090947-004",23
"B15090947-005",23
"B15091222-001",27
"B15091225-001",13
"B15091227-001",34
"B15091229-001",8
"B15091340-001",10
"B15091368-001",22
"B15091369-001",22
"B15091371-001",8
"B15091559-001",22
"B15091799-001",27
"B15091820-001",24
"B15091835-001",23
"B15091841-001",3
"B15091843-001",22
"B15091852-001",4
"B15091926-001",6
"B15091928-001",23
"B15092026-001",3
"B15092105-001",3
"B15092107-001",28
"B15092124-001",22
"B15092218-001",22
"B15092223-001",22
"B15092317-001",22
"B15092383-001",27
"B15092504-001",22
"B15092505-001",22
"B15092506-001",22
"B15092507-001",8
"B15092519-001",8
"B15100126-001",22
"B15100202-001",22
"B15100511-001",22
"B15100522-001",23
"B15100524-001",8
"B15100526-001",27
"B15100628-001",28
"B15100631-001",3
"B15100727-001",22
"B15101037-001",22
"B15101055-001",23
"B15101098-001",22
"B15101100-001",8
"B15101103-001",3
"B15101105-001",3
"B15101273-001",8
"B15101455-001",22
"B15101459-001",28
"B15101535-001",4
"B15101536-001",4
"B15101591-001",8
"B15101591-002",8
"B15101597-001",22
"B15101599-001",22
"B15101601-001",3
"B15101605-001",22
"B15101677-001",8
"B15101821-001",8
"B15102081-001",22
"B15102086-001",22
"B15102092-001",22
"B15102094-001",22
"B15102111-001",22
"B15102114-001",22
"B15102176-001",34
"B15102179-001",8
"B15102239-001",27
"B15110016-001",23
"B15110113-001",16
"B15110120-001",8
"B15110152-001",22
"B15110160-001",22
"B15110251-001",27
"B15110298-001",22
"B15110301-001",3
"B15110301-002",3
"B15110309-001",22
"B15110316-001",25
"B15110316-002",2
"B15110317-001",3
"B15110321-001",25
"B15110321-002",2
"B15110468-001",22
"B15110667-001",5
"B15110681-001",22
"B15110681-002",22
"B15110703-001",3
"B15110707-001",22
"B15110711-001",27
"B15110716-001",22
"B15110885-001",8
"B15111039-001",22
"B15111241-001",22
"B15111301-001",22
"B15111303-001",3
"B15111305-001",22
"B15111306-001",8
"B15111390-001",13
"B15111392-001",3
"B15111393-001",22
"B15111515-001",5
"B15111592-001",25
"B15111592-002",2
"B15111835-001",3
"B15111836-001",3
"B15120005-001",25
"B15120007-001",22
"B15120029-001",22
"B15120070-001",23
"B15120111-001",3
"B15120193-001",22
"B15120617-001",23
"B15120620-001",28
"B15120629-001",22
"B15120632-001",6
"B15120632-002",8
"B15120632-003",2
"B15120634-001",3
"B15120696-001",8
"B15120697-001",24
"B15120707-001",28
"B15120711-001",22
