"SampleID","n"
"B17060880-001",6
"B17060891-001",20
"B17060915-001",23
"B17060915-002",28
"B17060982-001",25
"B17061114-001",23
"B17061118-001",8
"B17061185-001",22
"B17061333-001",3
"B17061335-001",8
"B17061738-001",8
"B17061778-001",8
"B17061780-001",22
"B17061782-001",8
"B17061783-001",22
"B17061786-001",32
"B17061903-001",22
"B17061929-001",22
"B17061932-001",29
"B17061938-001",7
"B17061941-001",5
"B17061943-001",21
"B17061944-001",22
"B17061944-002",2
"B17061951-001",22
"B17062271-001",23
"B17062273-001",8
"B17062388-001",3
"B17062392-001",23
"B17062394-001",22
"B17062461-001",22
"B17062544-001",32
"B17062546-001",22
"B17062561-001",22
"B17062573-001",20
"B17062573-002",2
"B17062582-001",8
"B17062677-001",7
"B17062677-002",7
"B17062812-001",20
"B17062812-002",2
"B17062815-001",22
"B17062816-001",8
"B17070139-001",3
"B17070141-001",22
"B17070143-001",8
"B17070345-001",22
"B17070403-001",22
"B17070464-001",21
"B17070520-001",24
"B17070520-002",24
"B17070524-001",27
"B17070558-001",3
"B17070562-001",22
"B17070564-001",5
"B17070568-001",3
"B17070590-001",22
"B17070676-001",22
"B17070749-001",23
"B17070752-001",23
"B17070755-001",23
"B17070757-001",8
"B17070792-001",27
"B17070796-001",27
"B17070841-001",2
"B17070852-001",7
"B17070946-001",3
"B17070988-001",27
"B17071106-001",22
"B17071330-001",7
"B17071331-001",22
"B17071361-001",3
"B17071361-002",3
"B17071385-001",23
"B17071393-001",22
"B17071478-001",22
"B17071480-001",22
"B17071483-001",3
"B17071484-001",3
"B17071485-001",27
"B17071486-001",22
"B17071487-001",31
"B17071610-001",9
"B17071665-001",15
"B17071665-002",8
"B17071688-001",24
"B17071688-002",24
"B17071688-003",28
"B17071812-001",30
"B17071842-001",22
"B17071930-001",27
"B17071962-001",22
"B17071964-001",22
"B17071966-001",23
"B17071968-001",7
"B17071968-002",22
"B17071976-001",35
"B17071984-001",24
"B17071988-001",24
"B17072057-001",22
"B17072125-001",8
"B17072128-001",34
"B17072156-001",22
"B17072217-001",22
"B17072221-001",22
"B17072283-001",6
"B17072283-002",2
"B17072352-001",22
"B17072360-001",20
"B17072418-001",22
"B17072418-002",22
"B17072446-001",22
"B17080005-001",23
"B17080035-001",22
"B17080088-001",22
"B17080208-001",22
"B17080235-001",22
"B17080238-001",22
"B17080239-001",22
"B17080373-001",22
"B17080388-001",20
"B17080388-002",2
"B17080392-001",26
"B17080432-001",22
"B17080612-001",22
"B17080613-001",22
"B17080615-001",23
"B17080720-001",22
"B17080721-001",2
"B17080818-001",22
"B17080889-001",8
"B17080891-001",22
"B17081047-001",22
"B17081191-001",7
"B17081197-001",8
"B17081201-001",23
"B17081393-001",8
"B17081423-001",7
"B17081438-001",7
"B17081446-001",22
"B17081477-001",22
"B17081516-001",8
"B17081522-001",26
"B17081524-001",23
"B17081527-001",25
"B17081527-002",2
"B17081617-001",22
"B17081775-001",22
"B17081797-001",3
"B17081867-001",22
"B17081869-001",22
"B17081872-001",22
"B17081875-001",28
"B17081964-001",22
"B17082055-001",1
"B17082123-001",22
"B17082145-001",33
"B17082147-001",7
"B17082154-001",13
"B17082156-001",27
"B17082158-001",7
"B17082194-001",3
"B17082230-001",27
"B17082409-001",24
"B17082446-001",8
"B17082486-001",22
"B17082604-001",3
"B17082738-001",22
"B17082770-001",22
"B17082772-001",3
"B17082775-002",7
"B17082893-001",5
"B17082895-001",8
"B17082898-001",9
"B17082900-001",22
"B17082901-001",3
"B17082932-001",3
"B17083009-001",23
"B17083033-001",22
"B17090127-001",22
"B17090133-001",22
"B17090135-001",6
"B17090135-002",2
"B17090153-001",22
"B17090164-001",22
"B17090165-001",3
"B17090251-001",22
"B17090254-001",22
"B17090255-001",22
"B17090256-001",3
"B17090258-001",23
"B17090260-001",22
"B17090413-001",13
"B17090427-001",22
"B17090598-001",22
"B17090625-001",22
"B17090648-001",22
"B17090770-001",27
"B17090771-001",28
"B17090802-001",3
"B17090805-001",34
"B17090806-001",27
"B17090808-001",2
"B17090810-001",22
"B17090811-001",23
"B17090812-001",18
"B17090879-001",28
"B17090973-001",22
"B17090978-001",13
"B17090989-001",10
"B17091044-001",21
"B17091080-001",1
"B17091185-001",8
"B17091280-001",8
"B17091443-001",22
"B17091494-001",8
"B17091497-001",22
"B17091555-001",25
"B17091642-001",27
"B17091771-001",24
"B17091773-001",4
"B17091825-001",22
"B17092100-001",22
"B17092130-001",20
"B17092130-002",2
"B17092159-001",8
"B17092160-001",3
"B17092326-001",3
"B17092329-001",8
"B17092331-001",27
"B17092358-001",8
"B17092360-001",3
"B17092361-001",3
"B17092387-001",24
"B17100089-001",23
"B17100112-001",8
"B17100118-001",22
"B17100159-001",25
"B17100321-001",3
"B17100324-001",22
"B17100324-002",5
"B17100432-001",22
"B17100433-001",28
"B17100434-001",3
"B17100478-001",22
"B17100613-001",22
"B17100817-001",22
"B17100841-001",8
"B17100932-001",22
"B17100933-001",3
"B17101024-001",22
"B17101082-001",25
"B17101289-001",8
"B17101290-001",22
"B17101320-001",20
"B17101320-002",2
"B17101334-001",24
"B17101369-001",23
"B17101372-001",8
"B17101402-001",3
"B17101403-001",22
"B17101405-001",22
"B17101408-001",3
"B17101410-001",21
"B17101414-001",22
"B17101543-001",34
"B17101544-001",1
"B17101547-001",8
"B17101590-001",22
"B17101593-001",8
"B17101595-001",8
"B17101684-001",24
"B17101840-001",22
"B17101854-001",20
"B17101859-001",20
"B17101864-001",20
"B17101866-001",20
"B17101868-001",20
"B17101883-001",27
"B17101922-001",22
"B17101959-001",20
"B17101961-001",20
"B17101962-001",20
"B17101963-001",20
"B17101964-001",20
"B17102017-001",3
"B17102018-001",8
"B17102023-001",22
"B17102028-001",22
"B17102029-001",3
"B17102031-001",22
"B17102033-001",3
"B17102159-001",22
"B17102179-001",22
"B17102181-001",22
"B17102190-001",27
"B17102191-001",22
"B17102198-001",23
"B17102225-001",22
"B17102286-001",8
"B17102502-001",22
"B17110002-001",22
"B17110005-001",22
"B17110101-001",8
"B17110205-001",22
"B17110387-001",3
"B17110390-001",3
"B17110392-001",22
"B17110396-001",3
"B17110400-001",8
"B17110417-001",22
"B17110443-001",22
"B17110528-001",2
"B17110531-001",22
"B17110533-001",8
"B17110542-001",22
"B17110555-001",27
"B17110604-001",22
"B17110978-001",8
"B17110999-001",23
"B17111004-001",21
"B17111004-002",2
"B17111021-001",9
"B17111112-001",3
"B17111139-001",20
"B17111139-002",2
"B17111143-001",23
"B17111369-001",7
"B17111372-001",3
"B17111375-001",7
"B17111375-002",2
"B17111962-001",22
"B17111987-001",2
"B17112059-001",4
"B17112124-001",22
"B17112125-001",5
"B17112201-001",21
"B17112201-002",1
"B17112258-001",28
"B17112262-001",8
"B17112264-001",34
"B17120069-001",22
"B17120191-001",32
"B17120213-001",22
"B17120214-001",7
"B17120470-001",9
"B17120481-001",9
"B17120513-001",28
"B17120517-001",6
"B17120517-002",2
"B17120523-001",22
"B17120526-001",22
"B17120735-001",22
"B17120803-001",8
"B17120873-001",3
"B17120875-001",1
"B17120896-001",22
"B17121027-001",3
"B17121029-001",22
"B17121031-001",22
"B17121051-001",22
"B17121060-001",22
"B17121170-001",9
"B17121171-001",26
"B17121171-002",2
"B17121302-001",35
"B17121326-001",22
"B17121327-001",30
"B17121417-001",24
"B17121441-001",27
"B17121468-001",27
"B17121479-001",22
"B17121518-001",26
"B17121598-001",9
"B17121612-001",27
"B17121723-002",2
"B17121816-001",22
"B17121936-001",3
"B17121940-001",2
"B18010003-001",7
"B18010003-002",2
"B18010051-001",22
"B18010193-001",22
"B18010332-001",23
"B18010419-001",12
"B18010419-002",2
"B18010515-001",8
"B18010525-001",22
"B18010588-001",31
"B18010610-001",8
"B18010621-001",3
"B18010622-001",3
"B18011068-001",22
"B18011121-001",21
"B18011121-002",1
"B18011212-001",8
"B18011386-001",22
"B18011466-001",22
"B18011467-001",22
"B18011468-001",22
"B18011512-001",22
"B18011514-001",22
"B18011517-001",27
"B18011635-001",23
"B18011664-001",22
"B18011665-001",22
"B18011666-001",22
"B18011671-001",28
"B18011805-001",22
"B18011876-001",22
"B18011959-001",8
"B18012000-001",9
"B18012081-001",22
"B18012082-001",22
"B18012083-001",7
"B18012084-001",22
"B18012121-001",22
"B18012124-001",26
"B18012163-001",3
"B18012194-001",22
"B18020025-001",5
"B18020082-001",22
"B18020091-001",20
"B18020104-001",6
"B18020110-001",22
"B18020207-001",22
"B18020283-001",3
"B18020321-001",14
"B18020430-001",28
"B18020514-001",23
"B18020519-001",24
"B18020695-001",22
"B18020725-001",22
"B18020726-001",22
"B18020727-001",22
"B18020824-001",13
"B18020825-001",22
"B18020826-001",6
"B18020826-002",2
"B18020932-001",23
"B18020936-001",8
"B18020941-001",29
"B18021064-001",8
"B18021145-001",24
"B18021324-001",23
"B18021475-001",24
"B18021521-001",8
"B18021633-001",26
"B18021633-002",2
"B18021678-001",7
"B18021721-001",22
"B18021766-001",26
"B18021769-001",27
"B18021886-001",10
"B18021904-001",2
"B18021904-002",22
"B18021904-003",24
"B18021904-004",2
"B18021904-005",2
"B18030011-001",7
"B18030130-001",22
"B18030271-001",22
"B18030348-001",22
"B18030570-001",23
"B18030571-001",24
"B18030574-001",20
"B18030782-001",1
"B18030782-002",2
"B18030834-001",8
"B18030837-001",8
"B18030842-001",22
"B18030865-001",8
"B18030872-001",13
"B18031073-001",29
"B18031075-001",22
"B18031137-001",5
"B18031138-001",26
"B18031138-002",2
"B18031236-001",22
"B18031416-001",22
"B18031419-001",22
"B18031446-001",7
"B18031516-001",23
"B18031521-001",8
"B18031533-001",34
"B18031538-001",23
"B18031539-001",1
"B18031551-001",22
"B18031678-001",22
"B18031679-001",22
"B18031707-001",22
"B18031859-001",22
"B18031947-001",22
"B18031969-001",22
"B18032009-001",22
"B18032081-001",23
"B18032084-001",8
"B18032155-001",27
"B18032319-001",22
"B18040067-001",22
"B18040085-001",8
"B18040089-001",22
"B18040090-001",22
"B18040091-001",3
"B18040200-001",23
"B18040202-001",22
"B18040204-001",3
"B18040206-001",22
"B18040352-001",3
"B18040353-001",30
"B18040450-001",31
"B18040502-001",5
"B18040507-001",28
"B18040507-002",2
"B18040618-001",33
"B18040632-001",22
"B18040633-001",34
"B18040634-001",9
"B18040662-001",20
"B18040662-002",2
"B18040667-001",22
"B18040785-001",8
"B18040864-001",3
"B18040867-001",9
"B18040869-001",8
"B18041091-001",22
"B18041233-001",23
"B18041234-001",23
"B18041235-001",23
"B18041236-001",23
"B18041253-001",30
"B18041254-001",23
"B18041322-001",23
"B18041324-001",22
"B18041423-001",22
"B18041425-001",23
"B18041685-001",21
"B18041685-002",2
"B18041852-001",22
"B18041853-001",22
"B18041857-001",3
"B18041858-001",3
"B18041859-001",23
"B18042019-001",24
"B18042031-001",9
"B18042080-001",24
"B18042080-002",2
"B18042122-001",21
"B18042123-001",9
"B18042183-001",34
"B18042297-001",23
"B18042327-001",23
"B18042334-001",23
"B18042338-001",28
"B18050063-001",9
"B18050065-001",23
"B18050177-001",23
"B18050239-001",29
"B18050253-001",23
"B18050258-001",23
"B18050318-001",9
"B18050365-001",9
"B18050372-001",8
"B18050473-001",9
"B18050478-001",21
"B18050533-001",23
"B18050621-001",9
"B18050670-001",5
"B18050671-001",9
"B18050830-001",29
"B18050832-001",9
"B18050840-001",28
"B18050842-001",28
"B18050855-001",21
"B18050855-002",2
"B18050857-001",9
"B18050911-001",21
"B18050948-001",28
"B18051074-001",27
"B18051133-001",9
"B18051137-001",11
"B18051209-001",8
"B18051298-001",23
"B18051299-001",23
"B18051302-001",24
"B18051303-001",23
"B18051307-001",24
"B18051309-001",25
"B18051310-001",9
"B18051315-001",3
"B18051322-001",23
"B18051324-001",3
"B18051408-001",34
"B18051455-001",24
"B18051456-001",5
"B18051457-001",23
"B18051460-001",9
"B18051462-001",7
"B18051523-001",23
"B18051552-001",34
"B18051557-001",34
"B18051562-001",34
"B18051565-001",34
"B18051568-001",34
"B18051569-001",34
"B18051806-001",23
"B18051946-001",10
"B18051949-001",28
"B18051957-001",11
"B18052068-001",3
"B18052070-001",14
"B18052115-001",29
"B18052117-001",7
"B18052117-002",2
"B18052196-001",3
"B18052197-001",23
"B18052231-001",24
"B18052232-001",1
"B18052420-001",23
"B18052478-001",23
"B18052534-001",25
"B18052544-001",3
"B18052567-001",23
"B18052569-001",23
"B18052599-001",3
"B18052605-001",23
"B18052608-001",23
"B18052611-001",23
"B18052617-001",9
"B18052618-001",23
"B18052666-001",9
"B18060118-001",29
"B18060130-001",8
"B18060241-001",24
"B18060244-001",4
"B18060278-001",28
"B18060291-001",4
"B18060294-001",23
"B18060401-001",24
"B18060429-001",9
"B18060438-001",23
"B18060516-001",24
"B18060517-001",24
"B18060518-001",24
"B18060564-001",9
"B18060635-001",7
"B18060637-001",23
"B18060729-001",9
"B18060852-001",23
"B18060867-001",21
"B18060964-001",23
"B18060965-001",23
"B18060967-001",9
"B18061035-001",23
"B18061142-001",3
"B18061149-001",23
"B18061156-001",22
"B18061251-001",3
"B18061296-001",23
"B18061298-001",23
"B18061304-001",21
"B18061391-001",9
"B18061558-001",21
"B18061640-001",29
"B18061648-001",24
"B18061653-001",23
"B18061660-001",9
"B18061666-001",3
"B18061668-001",9
"B18061674-001",23
"B18061733-001",29
"B18061781-001",23
"B18061783-001",23
"B18061793-001",28
"B18061794-001",38
"B18061941-001",24
"B18061948-001",9
"B18061951-001",33
"B18061951-002",2
"B18062078-001",21
"B18062162-001",23
"B18062164-001",28
"B18062269-001",3
"B18062351-001",3
"B18062353-001",23
"B18062357-001",23
"B18062451-001",9
"B18062453-001",14
"B18062456-001",23
"B18062460-001",23
"B18062461-001",32
"B18062473-001",21
"B18062473-002",1
"B18062477-001",3
"B18062538-001",9
"B18062539-001",9
"B18062576-001",2
"B18062668-001",9
"B18062669-001",8
"B18062672-001",8
"B18062687-001",24
"B18062758-001",23
"B18062775-001",3
"B18062848-001",31
"B18070005-001",23
"B18070059-001",9
"B18070082-001",23
"B18070108-001",24
"B18070115-001",9
"B18070117-001",23
"B18070122-001",23
"B18070162-001",27
"B18070286-001",25
"B18070335-001",23
"B18070549-001",23
"B18070586-001",10
"B18070654-001",3
"B18070663-001",14
"B18070667-001",23
"B18070715-001",23
"B18070716-001",12
"B18070745-001",9
"B18070749-001",9
"B18070799-001",23
"B18070801-001",24
"B18070806-001",28
"B18070808-001",7
"B18070811-001",7
"B18070811-002",2
"B18070858-001",13
"B18070977-001",3
"B18070983-001",9
"B18071161-001",21
"B18071192-001",23
"B18071204-001",23
"B18071311-001",8
"B18071363-001",23
"B18071372-001",9
"B18071375-001",23
"B18071389-001",23
"B18071391-001",3
"B18071437-001",3
"B18071438-001",3
"B18071440-001",9
"B18071527-001",3
"B18071529-001",24
"B18071531-001",23
"B18071535-001",24
"B18071540-001",23
"B18071545-001",9
"B18071680-001",1
"B18071682-001",23
"B18071686-001",21
"B18071689-001",21
"B18071694-001",21
"B18071888-001",23
"B18071918-001",23
"B18071967-001",23
"B18071969-001",23
"B18071971-001",23
"B18071989-001",9
"B18072099-001",24
"B18072100-001",23
"B18072106-001",24
"B18072109-001",28
"B18072115-001",28
"B18072116-001",23
"B18072118-001",23
"B18072177-001",28
"B18072178-001",28
"B18072192-001",23
"B18072193-001",23
"B18072200-001",34
"B18072226-001",24
"B18072600-001",3
"B18072659-001",36
"B18072672-001",22
"B18072672-002",2
"B18072686-001",23
"B18072692-001",28
"B18072703-001",9
"B18072706-001",23
"B18072708-001",33
"B18072711-001",9
"B18080043-001",9
"B18080044-001",10
"B18080179-001",7
"B18080179-002",2
"B18080299-001",12
"B18080299-002",2
"B18080316-001",8
"B18080469-001",7
"B18080469-003",2
"B18080571-001",8
"B18080572-001",23
"B18080693-001",24
"B18080702-001",23
"B18080742-001",9
"B18080901-001",28
"B18081096-001",9
"B18081246-001",23
"B18081247-001",26
"B18081328-001",23
"B18081362-001",23
"B18081363-001",23
"B18081365-001",8
"B18081365-002",2
"B18081501-001",23
"B18081519-001",24
"B18081520-001",9
"B18081523-001",9
"B18081525-001",23
"B18081531-001",17
"B18081536-001",9
"B18081620-001",3
"B18081664-001",7
"B18081664-002",2
"B18081665-001",31
"B18081684-001",24
"B18081685-001",23
"B18081687-001",8
"B18081847-001",23
"B18081847-002",1
"B18081939-001",8
"B18082031-001",23
"B18082055-001",9
"B18082058-001",9
"B18082210-001",9
"B18082212-001",26
"B18082229-001",23
"B18082232-001",28
"B18082234-001",9
"B18082237-001",9
"B18082321-001",23
"B18082333-001",3
"B18082336-001",9
"B18082449-001",23
"B18082467-001",23
"B18082582-001",24
"B18082607-001",21
"B18082674-001",9
"B18082754-001",8
"B18082797-001",10
"B18082834-001",7
"B18082834-002",2
"B18082843-001",23
"B18082843-002",2
"B18082909-001",23
"B18082955-001",8
"B18082956-001",28
"B18082987-001",23
"B18082988-001",23
"B18082989-001",24
"B18090026-001",26
"B18090026-002",2
"B18090128-001",23
"B18090344-001",21
"B18090364-001",3
"B18090367-001",9
"B18090411-001",24
"B18090478-001",23
"B18090481-001",23
"B18090702-001",23
"B18090705-001",23
"B18090736-001",23
"B18090738-001",28
"B18090948-001",29
"B18090951-001",21
"B18090951-002",2
"B18090952-001",28
"B18090953-001",23
"B18090960-001",3
"B18090964-001",28
"B18090984-001",9
"B18090986-001",24
"B18091088-001",23
"B18091090-001",4
"B18091095-001",23
"B18091171-001",24
"B18091402-001",23
"B18091549-001",23
"B18091594-001",24
"B18091599-001",3
"B18091603-001",8
"B18091613-001",9
"B18091678-001",28
"B18091682-001",23
"B18091715-001",23
"B18091892-001",3
"B18091924-001",23
"B18091927-001",22
"B18091927-002",2
"B18091943-001",7
"B18091944-001",7
"B18091988-001",22
"B18092001-001",23
"B18092065-001",24
"B18092080-001",23
"B18092147-001",23
"B18092183-001",9
"B18092184-001",26
"B18092193-001",9
"B18092200-001",23
"B18092210-001",28
"B18092223-001",36
"B18092234-001",23
"B18092244-001",23
"B18092259-001",24
"B18092266-001",21
"B18092381-001",36
"B18092499-001",23
"B18092519-001",23
"B18092524-001",9
"B18092530-001",28
"B18092533-001",9
"B18092665-001",23
"B18100037-001",23
"B18100064-001",24
"B18100068-001",21
"B18100102-001",9
"B18100108-001",25
"B18100174-001",24
"B18100177-001",23
"B18100231-001",26
"B18100232-001",28
"B18100343-001",4
"B18100349-001",3
"B18100455-001",29
"B18100485-001",3
"B18100486-001",21
"B18100486-002",2
"B18100591-001",9
"B18100593-001",9
"B18100596-001",9
"B18100718-001",23
"B18100760-001",23
"B18100783-001",23
"B18100983-001",9
"B18100988-001",9
"B18101002-001",24
"B18101005-001",23
"B18101093-001",23
"B18101316-001",23
"B18101362-001",36
"B18101383-001",23
"B18101384-001",36
"B18101474-001",23
"B18101496-001",5
"B18101509-001",23
"B18101510-001",23
"B18101511-001",24
"B18101709-001",21
"B18101711-001",21
"B18101712-001",21
"B18101713-001",21
"B18101716-001",21
"B18101719-001",5
"B18101870-001",34
"B18101938-001",25
"B18102063-001",28
"B18102152-001",3
"B18102399-001",23
"B18102465-001",9
"B18102466-001",24
"B18102467-001",9
"B18102491-001",3
"B18102492-001",3
"B18102493-001",29
"B18102494-001",24
"B18102497-001",35
"B18102543-001",23
"B18102593-001",9
"B18102595-001",28
"B18102598-001",28
"B18110010-001",29
"B18110011-001",31
"B18110040-001",23
"B18110062-001",23
"B18110089-001",23
"B18110094-001",23
"B18110095-001",21
"B18110098-001",21
"B18110195-001",9
"B18110427-001",25
"B18110550-001",10
"B18110555-001",23
"B18110556-001",9
"B18110568-001",5
"B18110570-001",27
"B18110570-002",2
"B18110689-001",3
"B18110690-001",24
"B18110805-001",28
"B18110990-001",23
"B18111202-001",23
"B18111308-001",29
"B18111310-001",23
"B18111357-001",28
"B18111394-001",23
"B18111460-001",23
"B18111492-001",23
"B18111493-001",24
"B18111689-001",27
"B18111712-001",9
"B18111715-001",23
"B18111734-001",9
"B18111735-001",28
"B18111736-001",28
"B18111775-001",12
"B18111778-001",12
"B18111931-001",30
"B18111932-001",9
"B18111938-001",23
"B18111975-001",21
"B18112034-001",10
"B18112042-001",25
"B18112174-001",23
"B18112175-001",24
"B18112312-001",1
"B18112376-001",23
"B18120102-001",21
"B18120162-001",9
"B18120165-001",11
"B18120181-001",28
"B18120184-001",9
"B18120185-001",23
"B18120226-001",21
"B18120394-001",7
"B18120404-001",6
"B18120404-002",2
"B18120407-001",23
"B18120412-001",12
"B18120487-001",5
"B18120526-001",27
"B18120705-001",24
"B18120929-001",9
"B18121072-001",23
"B18121084-001",5
"B18121186-001",23
"B18121339-001",23
"B18121342-001",23
"B18121409-001",24
"B18121480-001",9
"B18121538-001",23
"B18121556-001",21
"B18121557-001",9
"B18121659-001",21
"B18121661-001",22
"B18121787-001",24
"B18122011-001",23
"B19010017-001",9
"B19010071-001",23
"B19010401-001",9
"B19010404-001",28
"B19010447-001",23
"B19010452-001",23
"B19010560-001",23
"B19010565-001",24
"B19010607-001",8
"B19010609-001",26
"B19010610-001",23
"B19010911-001",23
"B19011021-001",23
"B19011027-001",24
"B19011030-001",23
"B19011033-001",23
"B19011039-001",9
"B19011040-001",11
"B19011046-001",23
"B19011047-001",21
"B19011145-001",3
"B19011146-001",23
"B19011149-001",9
"B19011169-001",24
"B19011254-001",23
"B19011271-001",5
"B19011276-001",24
"B19011298-001",29
"B19011337-001",23
"B19011616-001",3
"B19011686-001",9
"B19011707-001",29
"B19011861-001",23
"B19011875-001",25
"B19012007-001",23
"B19012009-001",23
"B19012051-001",23
"B19012052-001",23
"B19012065-001",24
"B19012069-001",23
"B19012110-001",9
"B19012111-001",28
"B19012115-001",23
"B19012117-001",23
"B19012122-001",29
"B19012127-001",24
"B19012139-001",24
"B19012241-001",28
"B19012247-001",23
"B19020159-001",24
"B19020246-001",9
"B19020250-001",23
"B19020251-001",9
"B19020305-001",23
"B19020354-001",9
"B19020356-001",12
"B19020544-001",23
"B19020625-001",3
"B19020718-001",23
"B19020724-001",23
"B19020876-001",3
"B19020928-001",24
"B19021155-001",24
"B19021213-001",28
"B19021217-001",9
"B19021220-001",24
"B19021260-001",35
"B19021541-002",3
"B19021544-001",3
"B19021620-001",12
"B19021626-001",3
"B19021627-001",3
"B19021706-001",23
"B19021773-001",23
"B19030005-001",9
"B19030213-001",23
"B19030290-001",23
"B19030657-001",23
"B19030668-001",24
"B19030744-001",9
"B19030747-001",23
"B19030845-001",28
"B19030846-001",23
"B19030882-001",13
"B19030968-001",21
"B19031153-001",23
"B19031214-001",28
"B19031265-001",29
"B19031276-001",10
"B19031399-001",23
"B19031402-001",5
"B19031403-001",23
"B19031404-001",24
"B19031405-001",10
"B19031408-001",33
"B19031472-001",9
"B19031537-001",28
"B19031538-001",21
"B19031539-001",28
"B19031540-001",28
"B19031610-001",26
"B19031616-001",23
"B19031617-001",29
"B19031714-001",23
"B19031881-001",24
"B19031892-001",25
"B19031894-001",23
"B19031936-001",23
"B19031976-001",10
"B19031978-001",9
"B19032089-001",9
"B19032091-001",3
"B19032092-001",21
"B19032093-001",28
"B19032162-001",23
"B19032192-001",3
"B19032238-001",24
"B19032258-001",23
"B19032262-001",23
"B19032403-001",9
"B19032405-001",23
"B19032409-001",23
"B19032412-001",23
"B19040049-001",23
"B19040051-001",23
"B19040056-001",23
"B19040086-001",23
"B19040106-001",23
"B19040111-001",9
"B19040115-001",23
"B19040154-001",3
"B19040262-001",9
"B19040282-001",23
"B19040285-001",24
"B19040309-001",3
"B19040362-001",9
"B19040373-001",14
"B19040441-001",23
"B19040474-001",10
"B19040552-001",23
"B19040677-001",8
"B19040732-001",9
"B19040828-001",24
"B19040832-001",23
"B19040834-001",23
"B19040862-001",23
"B19040893-001",23
"B19040905-001",9
"B19040907-001",9
"B19040912-001",23
"B19040915-001",25
"B19040917-001",25
"B19040920-001",23
"B19040924-001",24
"B19040927-001",36
"B19041003-001",23
"B19041006-001",23
"B19041032-001",9
"B19041032-002",2
"B19041035-001",23
"B19041049-001",7
"B19041050-001",3
"B19041109-001",21
"B19041110-001",21
"B19041253-001",23
"B19041260-001",23
"B19041278-001",23
"B19041280-001",23
"B19041316-001",9
"B19041317-001",23
"B19041345-001",23
"B19041452-001",23
"B19041454-001",24
"B19041547-001",23
"B19041715-001",9
"B19041800-001",26
"B19041826-001",23
"B19041829-001",29
"B19041830-001",23
"B19041836-001",24
"B19041872-001",23
"B19041938-001",23
"B19041942-001",9
"B19042002-001",21
"B19042002-002",2
"B19042009-001",9
"B19042032-001",24
"B19042035-001",9
"B19042036-001",21
"B19042037-001",21
"B19042043-001",2
"B19042043-002",21
"B19042086-001",30
"B19042088-001",23
"B19042170-001",9
"B19042341-001",29
"B19042352-001",23
"B19042354-001",9
"B19042356-001",9
"B19042378-001",23
"B19042379-001",23
"B19042387-001",13
"B19042392-001",9
"B19042399-001",23
"B19042451-001",28
"B19050032-001",28
"B19050068-001",24
"B19050070-001",23
"B19050114-001",4
"B19050116-001",26
"B19050116-002",2
"B19050117-001",3
"B19050226-001",1
"B19050277-001",23
"B19050279-001",23
"B19050280-001",23
"B19050354-001",23
"B19050366-001",8
"B19050445-001",9
"B19050447-001",28
"B19050448-001",9
"B19050464-001",11
"B19050467-001",31
"B19050482-001",26
"B19050483-001",23
"B19050606-001",28
"B19050702-001",26
"B19050703-001",15
"B19050744-001",27
"B19050744-002",2
"B19050746-001",3
"B19050765-001",9
"B19050904-001",9
"B19050948-001",23
"B19051038-001",24
"B19051061-001",26
"B19051076-001",28
"B19051089-001",9
"B19051191-001",9
"B19051248-001",23
"B19051253-001",23
"B19051263-001",36
"B19051266-001",23
"B19051269-001",23
"B19051271-001",23
"B19051286-001",23
"B19051290-001",28
"B19051303-001",28
"B19051309-001",28
"B19051313-001",9
"B19051369-001",9
"B19051471-001",23
"B19051733-001",6
"B19051734-001",23
"B19051847-001",8
"B19051849-001",3
"B19051850-001",9
"B19051851-001",23
"B19051867-001",9
"B19051873-001",23
"B19051918-001",23
"B19051984-001",28
"B19052025-001",25
"B19052038-001",9
"B19052044-001",9
"B19052048-001",30
"B19052052-001",9
"B19052171-001",24
"B19052191-001",7
"B19052191-002",2
"B19052192-001",7
"B19052192-002",2
"B19052272-001",31
"B19052273-001",25
"B19052273-002",2
"B19052274-001",27
"B19052293-001",9
"B19052338-001",21
"B19052338-002",2
"B19052358-001",29
"B19052362-001",9
"B19052372-001",23
"B19052391-001",9
"B19052490-001",5
"B19052551-001",23
"B19052599-001",23
"B19052736-001",21
"B19060002-001",23
"B19060004-001",3
"B19060122-001",3
"B19060125-001",28
"B19060129-001",23
"B19060209-001",24
"B19060213-001",24
"B19060216-001",23
"B19060299-001",29
"B19060304-001",9
"B19060307-001",23
"B19060315-001",21
"B19060315-002",2
"B19060375-001",25
"B19060458-001",2
"B19060464-001",24
"B19060466-001",9
"B19060636-001",23
"B19060669-001",27
"B19060708-001",23
"B19060760-001",23
"B19060779-001",9
"B19060841-001",9
"B19060842-001",24
"B19060850-001",22
"B19060850-002",2
"B19060912-001",3
"B19060936-001",23
"B19060937-001",23
"B19060952-001",25
"B19061165-001",7
"B19061165-002",1
"B19061172-001",3
"B19061371-001",22
"B19061371-002",2
"B19061483-001",10
"B19061518-001",29
"B19061584-001",9
"B19061586-001",9
"B19061653-001",28
"B19061727-001",9
"B19061729-001",9
"B19061803-001",9
"B19061850-001",8
"B19061936-001",24
"B19061990-001",23
"B19062214-001",23
"B19062235-001",23
"B19062237-001",24
"B19062343-001",21
"B19062355-001",26
"B19062368-001",23
"B19062421-001",9
"B19062427-001",23
"B19062441-001",9
"B19062442-001",9
"B19062443-001",6
"B19062560-001",7
"B19062779-001",23
"B19070027-001",21
"B19070095-001",9
"B19070096-001",1
