"","out_tracks","out_vals","out_descriptions","Analyte"
"1",2200525,0.015,"Leach Evaporation Pit","Molybdenum"
"2",2200861,0.029,"Anna Aronow Evaporation Pit","Molybdenum"
"3",2201101,0.007,"Water straight from our well, routed thru house plumbing","Molybdenum"
"4",2201106,0.006,"reservoir @ Freddy Place","Molybdenum"
"5",2202026,0.075,"sample from reservoir #2","Molybdenum"
"6",2300477,0.007,"sample from reservoir #1","Molybdenum"
