"","out_tracks","out_vals","out_descriptions","Analyte"
"1",2300102,1.38,"Want to know","Copper"
"2",2300572,1.05,"1 set sample from American Prairie","Copper"
"3",2300945,0.597,"Household + garden water use","Copper"
"4",2301098,1.38,"Second house spring water sistern sample 2","Copper"
"5",2301432,0.897,"Kitchen Faucet","Copper"
