"","out_tracks","out_vals","out_descriptions","Analyte"
"1",2201101,0.001,"Leach Evaporation Pit","Lead"
"2",2201529,0.01,"Well","Lead"
"3",2300014,0.002,"","Lead"
"4",2300093,0.002,"Water Sample for human consumption of domestic well","Lead"
"5",2300333,0.001,"Well test after not testing","Lead"
"6",2300356,0.002,"test new well Water Quality","Lead"
"7",2300439,0.001,"","Lead"
"8",2300945,0.001,"1 set sample from American Prairie","Lead"
"9",2301679,0.002,"","Lead"
